season,season_start,league,division,position,club,source
1931/1932,1931,Eretz Israel League,,1,British Police,Hebrew Wikipedia
1931/1932,1931,Eretz Israel League,,2,Hapoel Tel Aviv,Hebrew Wikipedia
1931/1932,1931,Eretz Israel League,,3,Hapoel Haifa,Hebrew Wikipedia
1931/1932,1931,Eretz Israel League,,4,Maccabi Jerusalem,Hebrew Wikipedia
1931/1932,1931,Eretz Israel League,,5,Maccabi Tel Aviv,Hebrew Wikipedia
1931/1932,1931,Eretz Israel League,,6,Maccabi Petah Tikva,Hebrew Wikipedia
1931/1932,1931,Eretz Israel League,,7,Maccabi Haifa,Hebrew Wikipedia
1931/1932,1931,Eretz Israel League,,8,Maccabi Nes Ziona,Hebrew Wikipedia
1931/1932,1931,Eretz Israel League,,9,Hapoel Jerusalem,Hebrew Wikipedia
1933/1934,1933,Eretz Israel League,,1,Hapoel Tel Aviv,Hebrew Wikipedia
1933/1934,1933,Eretz Israel League,,2,Maccabi Jerusalem,Hebrew Wikipedia
1933/1934,1933,Eretz Israel League,,3,Hapoel Haifa,Hebrew Wikipedia
1933/1934,1933,Eretz Israel League,,4,Maccabi Petah Tikva,Hebrew Wikipedia
1933/1934,1933,Eretz Israel League,,5,Maccabi Tel Aviv,Hebrew Wikipedia
1933/1934,1933,Eretz Israel League,,6,Maccabi Nes Ziona,Hebrew Wikipedia
1933/1934,1933,Eretz Israel League,,7,Maccabi Rehovot,Hebrew Wikipedia
1933/1934,1933,Eretz Israel League,,8,Hapoel Jerusalem,Hebrew Wikipedia
1933/1934,1933,Eretz Israel League,,9,Maccabi Haifa,Hebrew Wikipedia
1934/1935,1934,Eretz Israel League,,1,Hapoel Tel Aviv,Hebrew Wikipedia
1934/1935,1934,Eretz Israel League,,2,Hapoel Petah Tikva,Hebrew Wikipedia
1934/1935,1934,Eretz Israel League,,3,Hakoah Tel Aviv,Hebrew Wikipedia
1934/1935,1934,Eretz Israel League,,4,Maccabi Petah Tikva,Hebrew Wikipedia
1934/1935,1934,Eretz Israel League,,5,Maccabi Tel Aviv,Hebrew Wikipedia
1934/1935,1934,Eretz Israel League,,6,Maccabi Jerusalem,Hebrew Wikipedia
1934/1935,1934,Eretz Israel League,,7,Hapoel Haifa,Hebrew Wikipedia
1934/1935,1934,Eretz Israel League,,8,Maccabi Nes Ziona,Hebrew Wikipedia
1934/1935,1934,Eretz Israel League,,9,Maccabi Rehovot,Hebrew Wikipedia
1934/1935,1934,Eretz Israel League,,10,Hapoel Jerusalem,Hebrew Wikipedia
1935/1936,1935,Eretz Israel League,,1,Maccabi Tel Aviv,Hebrew Wikipedia
1935/1936,1935,Eretz Israel League,,2,Hakoah Tel Aviv,Hebrew Wikipedia
1935/1936,1935,Eretz Israel League,,3,Hapoel Tel Aviv,Hebrew Wikipedia
1935/1936,1935,Eretz Israel League,,4,Hapoel Haifa,Hebrew Wikipedia
1935/1936,1935,Eretz Israel League,,5,Maccabi Petah Tikva,Hebrew Wikipedia
1935/1936,1935,Eretz Israel League,,6,Maccabi Nes Ziona,Hebrew Wikipedia
1937,1937,Eretz Israel League,,1,Maccabi Tel Aviv,Hebrew Wikipedia
1937,1937,Eretz Israel League,,2,Hapoel Tel Aviv,Hebrew Wikipedia
1937,1937,Eretz Israel League,,3,Hakoah Tel Aviv,Hebrew Wikipedia
1937,1937,Eretz Israel League,,4,Hapoel Haifa,Hebrew Wikipedia
1937,1937,Eretz Israel League,,5,Maccabi Petah Tikva,Hebrew Wikipedia
1937,1937,Liga Bet,,1,Hapoel Ironi Herzliya,Hebrew Wikipedia
1937,1937,Liga Bet,,2,Beitar Tel Aviv,Hebrew Wikipedia
1937,1937,Liga Bet,,3,Maccabi Haifa,Hebrew Wikipedia
1937,1937,Liga Bet,,5,Maccabi Hadera,Hebrew Wikipedia
1937,1937,Liga Bet,North,1,Hapoel Ironi Herzliya,English Wikipedia
1937,1937,Liga Bet,North,2,Beitar Tel Aviv,English Wikipedia
1937,1937,Liga Bet,North,3,Maccabi Haifa,English Wikipedia
1937,1937,Liga Bet,North,4,HaKochav Tel Aviv,English Wikipedia
1937,1937,Liga Bet,North,5,Maccabi Hadera,English Wikipedia
1938,1938,Eretz Israel League,,1,Hapoel Tel Aviv,Hebrew Wikipedia
1938,1938,Eretz Israel League,,2,Maccabi Tel Aviv,Hebrew Wikipedia
1938,1938,Eretz Israel League,,3,British Police,Hebrew Wikipedia
1938,1938,Eretz Israel League,,4,Hapoel Haifa,Hebrew Wikipedia
1938,1938,Eretz Israel League,,5,Hakoah Tel Aviv,Hebrew Wikipedia
1938,1938,Eretz Israel League,,6,Hapoel Ironi Herzliya,Hebrew Wikipedia
1938,1938,Eretz Israel League,,7,Maccabi Petah Tikva,Hebrew Wikipedia
1938,1938,Eretz Israel League,,8,Maccabi Nes Ziona,Hebrew Wikipedia
1938,1938,Eretz Israel League,,9,HaMeofefim Ramla,Hebrew Wikipedia
1938,1938,Eretz Israel League,,9,Royal Air Force,English Wikipedia
1938,1938,Eretz Israel League,Tel Aviv League,1,Hapoel Tel Aviv,English Wikipedia
1938,1938,Eretz Israel League,Tel Aviv League,2,Maccabi Tel Aviv,English Wikipedia
1938,1938,Eretz Israel League,Tel Aviv League,3,Maccabi Petah Tikva,English Wikipedia
1938,1938,Eretz Israel League,Tel Aviv League,4,Hakoah Tel Aviv,English Wikipedia
1938,1938,Liga Bet,,1,Degel Zion Tel Aviv,Hebrew Wikipedia
1938,1938,Liga Bet,,2,Beitar Tel Aviv,Hebrew Wikipedia
1938,1938,Liga Bet,,3,Maccabi Gedera,Hebrew Wikipedia
1938,1938,Liga Bet,,5,Maccabi Rehovot,Hebrew Wikipedia
1938,1938,Liga Bet,,6,Hapoel Rishon LeZion,Hebrew Wikipedia
1938,1938,Liga Bet,South,1,Degel Zion Tel Aviv,English Wikipedia
1938,1938,Liga Bet,South,2,Beitar Tel Aviv,English Wikipedia
1938,1938,Liga Bet,South,3,Maccabi Gedera,English Wikipedia
1938,1938,Liga Bet,South,4,HaKochav Tel Aviv,English Wikipedia
1938,1938,Liga Bet,South,5,Maccabi Rehovot,English Wikipedia
1938,1938,Liga Bet,South,6,Hapoel Rishon LeZion,English Wikipedia
1939,1939,Eretz Israel League,Division I,1,Maccabi Tel Aviv,English Wikipedia
1939,1939,Eretz Israel League,Division I,2,Hapoel Tel Aviv,English Wikipedia
1939,1939,Eretz Israel League,Division I,3,Maccabi Petah Tikva,English Wikipedia
1939,1939,Eretz Israel League,Division I,4,Maccabi Nes Ziona,English Wikipedia
1939,1939,Eretz Israel League,Division I,5,Hapoel Ironi Herzliya,English Wikipedia
1939,1939,Eretz Israel League,Division I,6,Hakoah Tel Aviv,English Wikipedia
1939,1939,Eretz Israel League,Division II,1,Beitar Tel Aviv,English Wikipedia
1939,1939,Eretz Israel League,Division II,2,Degel Zion Tel Aviv,English Wikipedia
1939,1939,Eretz Israel League,Division II,3,Egged Tel Aviv,English Wikipedia
1939,1939,Eretz Israel League,Division II,4,Hapoel Petah Tikva,English Wikipedia
1939,1939,Eretz Israel League,Division II,5,Hegge Tel Aviv,English Wikipedia
1939,1939,Eretz Israel League,Division II,6,HaTehiya Tel Aviv,English Wikipedia
1939,1939,Eretz Israel League,Division II,7,Hapoel Ramat Gan,English Wikipedia
1939,1939,Eretz Israel League,Division II,8,Hakoah Petah Tikva,English Wikipedia
1939,1939,Eretz Israel League,Division II,9,Maccabi Herzliya,English Wikipedia
1939,1939,Eretz Israel League,Division II,10,Hapoel Ra'anana,English Wikipedia
1939,1939,Eretz Israel League,Division II,11,Maccabi Ramat Gan,English Wikipedia
1939,1939,Eretz Israel League,Division II,12,HaKochav Tel Aviv,English Wikipedia
1939,1939,Eretz Israel League,Jerusalem A,1,British Police,Hebrew Wikipedia
1939,1939,Eretz Israel League,Jerusalem A,2,Black Watch,Hebrew Wikipedia
1939,1939,Eretz Israel League,Jerusalem A,3,Royal Air Force,Hebrew Wikipedia
1939,1939,Eretz Israel League,Jerusalem A,4,District Police,Hebrew Wikipedia
1939,1939,Eretz Israel League,Jerusalem A,5,Royal Signals,Hebrew Wikipedia
1939,1939,Eretz Israel League,Jerusalem A,6,British HQ,Hebrew Wikipedia
1939,1939,Eretz Israel League,Jerusalem A,7,Black Brigade,Hebrew Wikipedia
1939,1939,Eretz Israel League,Jerusalem A,8,R.A.P.C.,Hebrew Wikipedia
1939,1939,Eretz Israel League,Jerusalem A,9,No. 2/5 CC St.,Hebrew Wikipedia
1939,1939,Eretz Israel League,Jerusalem A,10,H.Q.R. AF,Hebrew Wikipedia
1939,1939,Eretz Israel League,Jerusalem A,11,11th Hussars B Squadron,Hebrew Wikipedia
1939,1939,Eretz Israel League,Samaria B,1,Beitar Netanya,Hebrew Wikipedia
1939,1939,Eretz Israel League,Samaria B,2,Hapoel Hadera,Hebrew Wikipedia
1939,1939,Eretz Israel League,Samaria B,3,Maccabi Netanya,Hebrew Wikipedia
1939,1939,Eretz Israel League,Samaria B,4,Maccabi Binyamina,Hebrew Wikipedia
1939,1939,Eretz Israel League,Samaria B,5,Maccabi Hadera,Hebrew Wikipedia
1939,1939,Eretz Israel League,Samaria B,6,Hapoel Netanya,Hebrew Wikipedia
1939,1939,Eretz Israel League,Samaria regional league,1,Beitar Netanya,English Wikipedia
1939,1939,Eretz Israel League,Samaria regional league,2,Hapoel Hadera,English Wikipedia
1939,1939,Eretz Israel League,Samaria regional league,3,Maccabi Netanya,English Wikipedia
1939,1939,Eretz Israel League,Samaria regional league,4,Maccabi Binyamina,English Wikipedia
1939,1939,Eretz Israel League,Samaria regional league,5,Maccabi Hadera,English Wikipedia
1939,1939,Eretz Israel League,Samaria regional league,6,Hapoel Netanya,English Wikipedia
1939,1939,Eretz Israel League,South B,1,Maccabi Rehovot,Hebrew Wikipedia
1939,1939,Eretz Israel League,South B,2,Hapoel Rishon LeZion,Hebrew Wikipedia
1939,1939,Eretz Israel League,South B,3,RSG Rehovot,Hebrew Wikipedia
1939,1939,Eretz Israel League,South B,4,Maccabi Gedera,Hebrew Wikipedia
1939,1939,Eretz Israel League,South B,5,Maccabi Rishon LeZion,Hebrew Wikipedia
1939,1939,Eretz Israel League,South B,6,Hapoel Rehovot,Hebrew Wikipedia
1939,1939,Eretz Israel League,South B,7,Hapoel Nes Tziona,Hebrew Wikipedia
1939,1939,Eretz Israel League,South B,8,Beitar Rishon LeZion,Hebrew Wikipedia
1939,1939,Eretz Israel League,Southern regional league,1,Maccabi Rehovot,English Wikipedia
1939,1939,Eretz Israel League,Southern regional league,2,Hapoel Rishon LeZion,English Wikipedia
1939,1939,Eretz Israel League,Southern regional league,3,Royal Scots Greys,English Wikipedia
1939,1939,Eretz Israel League,Southern regional league,4,Maccabi Gedera,English Wikipedia
1939,1939,Eretz Israel League,Southern regional league,5,Maccabi Rishon LeZion,English Wikipedia
1939,1939,Eretz Israel League,Southern regional league,6,Hapoel Rehovot,English Wikipedia
1939,1939,Eretz Israel League,Southern regional league,7,Hapoel Nes Tziona,English Wikipedia
1939,1939,Eretz Israel League,Southern regional league,8,Beitar Rishon LeZion,English Wikipedia
1939,1939,Eretz Israel League,Tel Aviv A,1,Maccabi Tel Aviv,Hebrew Wikipedia
1939,1939,Eretz Israel League,Tel Aviv A,2,Hapoel Tel Aviv,Hebrew Wikipedia
1939,1939,Eretz Israel League,Tel Aviv A,3,Maccabi Petah Tikva,Hebrew Wikipedia
1939,1939,Eretz Israel League,Tel Aviv A,4,Maccabi Nes Ziona,Hebrew Wikipedia
1939,1939,Eretz Israel League,Tel Aviv A,5,Hapoel Ironi Herzliya,Hebrew Wikipedia
1939,1939,Eretz Israel League,Tel Aviv A,6,Hakoah Tel Aviv,Hebrew Wikipedia
1939,1939,Eretz Israel League,Tel Aviv B,1,Beitar Tel Aviv,Hebrew Wikipedia
1939,1939,Eretz Israel League,Tel Aviv B,2,Degel Zion Tel Aviv,Hebrew Wikipedia
1939,1939,Eretz Israel League,Tel Aviv B,3,Egged,Hebrew Wikipedia
1939,1939,Eretz Israel League,Tel Aviv B,4,Hapoel Petah Tikva,Hebrew Wikipedia
1939,1939,Eretz Israel League,Tel Aviv B,5,HaGa Tel Aviv,Hebrew Wikipedia
1939,1939,Eretz Israel League,Tel Aviv B,6,HaTehiya Tel Aviv,Hebrew Wikipedia
1939,1939,Eretz Israel League,Tel Aviv B,7,Hapoel Ramat Gan,Hebrew Wikipedia
1939,1939,Eretz Israel League,Tel Aviv B,8,Hakoah Maccabi Petah Tikva,Hebrew Wikipedia
1939,1939,Eretz Israel League,Tel Aviv B,9,Maccabi Herzliya,Hebrew Wikipedia
1939,1939,Eretz Israel League,Tel Aviv B,10,Hapoel Ra'anana,Hebrew Wikipedia
1939,1939,Eretz Israel League,Tel Aviv B,11,Maccabi Ramat Gan,Hebrew Wikipedia
1939,1939,Eretz Israel League,Tel Aviv B,12,Hakoah Tel Aviv,Hebrew Wikipedia
1940,1940,Eretz Israel League,,1,Hapoel Tel Aviv,English Wikipedia
1940,1940,Eretz Israel League,,2,Beitar Tel Aviv,English Wikipedia
1940,1940,Eretz Israel League,,3,Maccabi Tel Aviv,English Wikipedia
1940,1940,Eretz Israel League,,4,Maccabi Nes Ziona,English Wikipedia
1940,1940,Eretz Israel League,,5,Hapoel Haifa,English Wikipedia
1940,1940,Eretz Israel League,,6,Hakoah Tel Aviv,English Wikipedia
1940,1940,Eretz Israel League,,7,Maccabi Petah Tikva,English Wikipedia
1940,1940,Eretz Israel League,,8,Hapoel Ironi Herzliya,English Wikipedia
1940,1940,Eretz Israel League,Jerusalem,1,Maccabi Jerusalem,Hebrew Wikipedia
1940,1940,Eretz Israel League,Jerusalem,2,Hapoel Jerusalem,Hebrew Wikipedia
1940,1940,Eretz Israel League,Jerusalem,3,Homenetmen Jerusalem,Hebrew Wikipedia
1940,1940,Eretz Israel League,Jerusalem,4,R.A.M.C. + C.M.P.,Hebrew Wikipedia
1940,1940,Eretz Israel League,Jerusalem,5,Club Jerusalem,Hebrew Wikipedia
1940,1940,Eretz Israel League,Tel Aviv,1,Hapoel Tel Aviv,Hebrew Wikipedia
1940,1940,Eretz Israel League,Tel Aviv,2,Beitar Tel Aviv,Hebrew Wikipedia
1940,1940,Eretz Israel League,Tel Aviv,3,Maccabi Tel Aviv,Hebrew Wikipedia
1940,1940,Eretz Israel League,Tel Aviv,4,Maccabi Nes Ziona,Hebrew Wikipedia
1940,1940,Eretz Israel League,Tel Aviv,5,Hapoel Haifa,Hebrew Wikipedia
1940,1940,Eretz Israel League,Tel Aviv,6,Hakoah Tel Aviv,Hebrew Wikipedia
1940,1940,Eretz Israel League,Tel Aviv,7,Maccabi Petah Tikva,Hebrew Wikipedia
1940,1940,Eretz Israel League,Tel Aviv,8,Hapoel Ironi Herzliya,Hebrew Wikipedia
1940,1940,Liga Bet,Samaria,1,Degel Zion Tel Aviv,Hebrew Wikipedia
1940,1940,Liga Bet,Samaria,2,Egged,Hebrew Wikipedia
1940,1940,Liga Bet,Samaria,2,Egged Tel Aviv,English Wikipedia
1940,1940,Liga Bet,Samaria,3,Hapoel Ramat Gan,Hebrew Wikipedia
1940,1940,Liga Bet,Samaria,4,Hapoel Petah Tikva,Hebrew Wikipedia
1940,1940,Liga Bet,Samaria,5,Hakoah Petah Tikva,English Wikipedia
1940,1940,Liga Bet,Samaria,6,Hapoel Ra'anana,Hebrew Wikipedia
1940,1940,Liga Bet,Samaria,7,Maccabi Netanya,Hebrew Wikipedia
1940,1940,Liga Bet,Samaria,8,Hapoel Netanya,Hebrew Wikipedia
1940,1940,Liga Bet,Samaria,9,Beitar Netanya,Hebrew Wikipedia
1940,1940,Liga Bet,Samaria,10,Maccabi Ramat Gan,English Wikipedia
1940,1940,Liga Bet,South,1,Royal Scots Greys,English Wikipedia
1940,1940,Liga Bet,South,2,Hapoel Rishon LeZion,Hebrew Wikipedia
1940,1940,Liga Bet,South,3,Maccabi Rehovot,Hebrew Wikipedia
1940,1940,Liga Bet,South,4,Maccabi Rishon LeZion,Hebrew Wikipedia
1940,1940,Liga Bet,South,5,HaTehiya Tel Aviv,Hebrew Wikipedia
1940,1940,Liga Bet,South,6,Hapoel Rehovot,Hebrew Wikipedia
1940,1940,Liga Bet,South,7,HaGa Tel Aviv,Hebrew Wikipedia
1940,1940,Liga Bet,South,7,Hegge Tel Aviv,English Wikipedia
1940,1940,Liga Bet,South,8,Maccabi Gedera,Hebrew Wikipedia
1941/1942,1941,Eretz Israel League,,1,Maccabi Tel Aviv,English Wikipedia
1941/1942,1941,Eretz Israel League,,2,Maccabi Rishon LeZion,English Wikipedia
1941/1942,1941,Eretz Israel League,,3,Homenetmen Jerusalem,English Wikipedia
1941/1942,1941,Eretz Israel League,Jerusalem,1,Homenetmen Jerusalem,Hebrew Wikipedia
1941/1942,1941,Eretz Israel League,Jerusalem,2,Maccabi Jerusalem,Hebrew Wikipedia
1941/1942,1941,Eretz Israel League,Jerusalem,3,Hapoel Jerusalem,Hebrew Wikipedia
1941/1942,1941,Eretz Israel League,Jerusalem,4,Degel Zion Jerusalem,Hebrew Wikipedia
1941/1942,1941,Eretz Israel League,Jerusalem,5,Christian Club Jerusalem,Hebrew Wikipedia
1941/1942,1941,Eretz Israel League,Jerusalem,6,Whitman Club Jerusalem,Hebrew Wikipedia
1941/1942,1941,Eretz Israel League,Jerusalem,7,R.A.F.S. Jerusalem,Hebrew Wikipedia
1941/1942,1941,Eretz Israel League,Jerusalem,8,Araks Jerusalem,Hebrew Wikipedia
1941/1942,1941,Eretz Israel League,Jerusalem,9,R.A.M.S. Jerusalem,Hebrew Wikipedia
1941/1942,1941,Eretz Israel League,Jerusalem,10,Elitzur Jerusalem,Hebrew Wikipedia
1941/1942,1941,Eretz Israel League,Jerusalem League,1,Homenetmen Jerusalem,English Wikipedia
1941/1942,1941,Eretz Israel League,Jerusalem League,2,Maccabi Jerusalem,English Wikipedia
1941/1942,1941,Eretz Israel League,Jerusalem League,3,Hapoel  Jerusalem,English Wikipedia
1941/1942,1941,Eretz Israel League,Jerusalem League,4,Degel Zion Jerusalem,English Wikipedia
1941/1942,1941,Eretz Israel League,Jerusalem League,5,Christian Club Jerusalem,English Wikipedia
1941/1942,1941,Eretz Israel League,Jerusalem League,6,Armenian Young Men's Society,English Wikipedia
1941/1942,1941,Eretz Israel League,Jerusalem League,7,Royal Army Pay Corps,English Wikipedia
1941/1942,1941,Eretz Israel League,Jerusalem League,8,Araks Jerusalem,English Wikipedia
1941/1942,1941,Eretz Israel League,Jerusalem League,9,Royal Army Medical Corps,English Wikipedia
1941/1942,1941,Eretz Israel League,Jerusalem League,10,Elitzur Jerusalem,English Wikipedia
1941/1942,1941,Eretz Israel League,Southern League,1,Maccabi Rishon LeZion,English Wikipedia
1941/1942,1941,Eretz Israel League,Southern League,2,Maccabi Tel Aviv,English Wikipedia
1941/1942,1941,Eretz Israel League,Southern League,3,Maccabi Nes Ziona,English Wikipedia
1941/1942,1941,Eretz Israel League,Southern League,4,Hapoel Tel Aviv,English Wikipedia
1941/1942,1941,Eretz Israel League,Southern League,5,Maccabi Petah Tikva,English Wikipedia
1941/1942,1941,Eretz Israel League,Southern League,6,Hapoel Petah Tikva,English Wikipedia
1941/1942,1941,Eretz Israel League,Southern League,7,Beitar Tel Aviv,English Wikipedia
1941/1942,1941,Eretz Israel League,Southern League,8,Al-Ahly Jaffa,English Wikipedia
1941/1942,1941,Eretz Israel League,Southern League,9,Hapoel Ramat Gan,English Wikipedia
1941/1942,1941,Eretz Israel League,Southern League,10,Maccabi Rehovot,English Wikipedia
1941/1942,1941,Eretz Israel League,Southern League,11,Hapoel Ironi Herzliya,English Wikipedia
1941/1942,1941,Eretz Israel League,Southern League,12,Hapoel Rishon LeZion,English Wikipedia
1941/1942,1941,Eretz Israel League,Southern League,13,Hakoah Tel Aviv,English Wikipedia
1941/1942,1941,Eretz Israel League,Southern League,14,Degel Zion Tel Aviv,English Wikipedia
1941/1942,1941,Eretz Israel League,Tel Aviv,1,Maccabi Tel Aviv,Hebrew Wikipedia
1941/1942,1941,Eretz Israel League,Tel Aviv,2,Maccabi Rishon LeZion,Hebrew Wikipedia
1941/1942,1941,Eretz Israel League,Tel Aviv,3,Maccabi Nes Ziona,Hebrew Wikipedia
1941/1942,1941,Eretz Israel League,Tel Aviv,4,Hapoel Tel Aviv,Hebrew Wikipedia
1941/1942,1941,Eretz Israel League,Tel Aviv,5,Maccabi Petah Tikva,Hebrew Wikipedia
1941/1942,1941,Eretz Israel League,Tel Aviv,6,Hapoel Petah Tikva,Hebrew Wikipedia
1941/1942,1941,Eretz Israel League,Tel Aviv,7,Beitar Tel Aviv,Hebrew Wikipedia
1941/1942,1941,Eretz Israel League,Tel Aviv,8,National Sport Club Jaffa,Hebrew Wikipedia
1941/1942,1941,Eretz Israel League,Tel Aviv,9,Hapoel Ramat Gan,Hebrew Wikipedia
1941/1942,1941,Eretz Israel League,Tel Aviv,10,Maccabi Rehovot,Hebrew Wikipedia
1941/1942,1941,Eretz Israel League,Tel Aviv,11,Hapoel Ironi Herzliya,Hebrew Wikipedia
1941/1942,1941,Eretz Israel League,Tel Aviv,12,Hapoel Rishon LeZion,Hebrew Wikipedia
1941/1942,1941,Eretz Israel League,Tel Aviv,13,Hakoah Tel Aviv,Hebrew Wikipedia
1941/1942,1941,Eretz Israel League,Tel Aviv,14,Degel Zion Tel Aviv,Hebrew Wikipedia
1941/1942,1941,Liga Bet,North,1,Maccabi Netanya,Hebrew Wikipedia
1941/1942,1941,Liga Bet,North,2,Hapoel Netanya,Hebrew Wikipedia
1941/1942,1941,Liga Bet,North,3,Maccabi Kfar Saba,English Wikipedia
1941/1942,1941,Liga Bet,North,4,Beitar Netanya,Hebrew Wikipedia
1941/1942,1941,Liga Bet,North,5,Hapoel Hadera,Hebrew Wikipedia
1941/1942,1941,Liga Bet,North,6,Hapoel Ra'anana,Hebrew Wikipedia
1941/1942,1941,Liga Bet,North,7,Maccabi Hadera,Hebrew Wikipedia
1941/1942,1941,Liga Bet,South,1,Hapoel Rehovot,Hebrew Wikipedia
1941/1942,1941,Liga Bet,South,2,Bnei Yehuda Tel Aviv,Hebrew Wikipedia
1941/1942,1941,Liga Bet,South,3,Mr. Barker XI,English Wikipedia
1941/1942,1941,Liga Bet,South,4,Maccabi Ramat Gan,English Wikipedia
1941/1942,1941,Liga Bet,South,5,Fire Brigade Rehovot,English Wikipedia
1941/1942,1941,Liga Bet,South,6,Hapoel HaNoar HaOved,English Wikipedia
1941/1942,1941,Liga Bet,South,7,Egged,Hebrew Wikipedia
1941/1942,1941,Liga Bet,South,7,Egged Tel Aviv,English Wikipedia
1943/1944,1943,Eretz Israel League,,1,Hapoel Tel Aviv,Hebrew Wikipedia
1943/1944,1943,Eretz Israel League,,2,Maccabi Rehovot,Hebrew Wikipedia
1943/1944,1943,Eretz Israel League,,3,Maccabi Nes Ziona,Hebrew Wikipedia
1943/1944,1943,Eretz Israel League,,4,Maccabi Tel Aviv,Hebrew Wikipedia
1943/1944,1943,Eretz Israel League,,5,Hapoel Petah Tikva,Hebrew Wikipedia
1943/1944,1943,Eretz Israel League,,6,Maccabi Netanya,Hebrew Wikipedia
1943/1944,1943,Eretz Israel League,,7,Hapoel Ramat Gan,Hebrew Wikipedia
1943/1944,1943,Eretz Israel League,,8,Beitar Tel Aviv,Hebrew Wikipedia
1943/1944,1943,Eretz Israel League,,9,Maccabi Rishon LeZion,Hebrew Wikipedia
1943/1944,1943,Eretz Israel League,,10,Hapoel Rehovot,Hebrew Wikipedia
1943/1944,1943,Eretz Israel League,,11,Hapoel Rishon LeZion,Hebrew Wikipedia
1943/1944,1943,Eretz Israel League,,12,Hakoah Tel Aviv,Hebrew Wikipedia
1943/1944,1943,Eretz Israel League,,13,Maccabi Petah Tikva,Hebrew Wikipedia
